EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 100930) of UNITED KINGDOM, HULL (STAID: 273)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
   273,100930,19590101,   48,    0
   273,100930,19590102,   53,    0
   273,100930,19590103,   25,    0
   273,100930,19590104,    6,    0
   273,100930,19590105,   11,    0
   273,100930,19590106,    0,    0
   273,100930,19590107,    6,    0
   273,100930,19590108,   14,    0
   273,100930,19590109,    3,    0
   273,100930,19590110,  -11,    0
   273,100930,19590111,  -37,    0
   273,100930,19590112,   -6,    0
   273,100930,19590113,    6,    0
   273,100930,19590114,   -6,    0
   273,100930,19590115,  -28,    0
   273,100930,19590116,  -11,    0
   273,100930,19590117,    3,    0
   273,100930,19590118,   22,    0
   273,100930,19590119,   50,    0
   273,100930,19590120,   70,    0
   273,100930,19590121,   56,    0
   273,100930,19590122,   64,    0
   273,100930,19590123,   39,    1
   273,100930,19590124,   14,    0
   273,100930,19590125,    9,    0
   273,100930,19590126,    6,    0
   273,100930,19590127,   14,    0
   273,100930,19590128,   31,    0
   273,100930,19590129,   14,    0
   273,100930,19590130,   31,    0
   273,100930,19590131,   25,    0
   273,100930,19590201,   31,    0
   273,100930,19590202,   14,    0
   273,100930,19590203,   17,    0
   273,100930,19590204,   39,    0
   273,100930,19590205,   47,    1
   273,100930,19590206,   22,    1
   273,100930,19590207,    6,    0
   273,100930,19590208,   14,    0
   273,100930,19590209,   23,    0
   273,100930,19590210,   20,    0
   273,100930,19590211,   36,    0
   273,100930,19590212,   28,    0
   273,100930,19590213,   25,    0
   273,100930,19590214,   23,    0
   273,100930,19590215,   36,    0
   273,100930,19590216,   59,    0
   273,100930,19590217,   59,    0
   273,100930,19590218,   47,    0
   273,100930,19590219,   53,    0
   273,100930,19590220,   61,    0
   273,100930,19590221,   70,    0
   273,100930,19590222,   67,    0
   273,100930,19590223,   89,    0
   273,100930,19590224,   92,    0
   273,100930,19590225,   98,    0
   273,100930,19590226,  103,    0
   273,100930,19590227,   92,    0
   273,100930,19590228,  117,    0
   273,100930,19590301,  103,    0
   273,100930,19590302,   78,    0
   273,100930,19590303,  111,    1
   273,100930,19590304,   81,    0
   273,100930,19590305,   84,    0
   273,100930,19590306,   81,    0
   273,100930,19590307,   95,    1
   273,100930,19590308,   64,    0
   273,100930,19590309,   50,    0
   273,100930,19590310,   50,    0
   273,100930,19590311,   64,    0
   273,100930,19590312,   75,    0
   273,100930,19590313,   70,    0
   273,100930,19590314,   89,    0
   273,100930,19590315,   86,    0
   273,100930,19590316,   78,    0
   273,100930,19590317,   72,    1
   273,100930,19590318,   45,    1
   273,100930,19590319,   39,    0
   273,100930,19590320,   56,    0
   273,100930,19590321,   56,    0
   273,100930,19590322,   56,    0
   273,100930,19590323,   50,    0
   273,100930,19590324,  100,    1
   273,100930,19590325,   72,    0
   273,100930,19590326,   89,    0
   273,100930,19590327,   92,    0
   273,100930,19590328,   84,    0
   273,100930,19590329,   89,    0
   273,100930,19590330,   92,    0
   273,100930,19590331,   84,    0
   273,100930,19590401,  114,    0
   273,100930,19590402,  112,    0
   273,100930,19590403,  103,    0
   273,100930,19590404,  109,    0
   273,100930,19590405,   84,    0
   273,100930,19590406,   89,    0
   273,100930,19590407,   70,    0
   273,100930,19590408,   84,    0
   273,100930,19590409,   81,    0
   273,100930,19590410,   75,    0
   273,100930,19590411,   70,    0
   273,100930,19590412,  100,    0
   273,100930,19590413,  142,    0
   273,100930,19590414,  159,    0
   273,100930,19590415,  139,    0
   273,100930,19590416,  103,    0
   273,100930,19590417,  106,    0
   273,100930,19590418,  103,    0
   273,100930,19590419,   75,    0
   273,100930,19590420,   64,    0
   273,100930,19590421,   95,    0
   273,100930,19590422,  120,    0
   273,100930,19590423,  120,    0
   273,100930,19590424,  108,    0
   273,100930,19590425,  142,    1
   273,100930,19590426,   97,    0
   273,100930,19590427,  100,    0
   273,100930,19590428,   97,    0
   273,100930,19590429,   72,    0
   273,100930,19590430,   83,    0
   273,100930,19590501,   92,    0
   273,100930,19590502,   92,    0
   273,100930,19590503,  109,    0
   273,100930,19590504,   78,    0
   273,100930,19590505,   84,    0
   273,100930,19590506,   86,    0
   273,100930,19590507,   98,    0
   273,100930,19590508,  142,    0
   273,100930,19590509,  161,    0
   273,100930,19590510,  159,    0
   273,100930,19590511,  144,    0
   273,100930,19590512,  145,    0
   273,100930,19590513,  136,    0
   273,100930,19590514,  136,    0
   273,100930,19590515,  134,    0
   273,100930,19590516,  114,    0
   273,100930,19590517,  114,    0
   273,100930,19590518,  114,    0
   273,100930,19590519,  111,    0
   273,100930,19590520,  106,    0
   273,100930,19590521,  108,    0
   273,100930,19590522,  119,    0
   273,100930,19590523,  139,    0
   273,100930,19590524,  117,    0
   273,100930,19590525,  134,    1
   273,100930,19590526,  100,    0
   273,100930,19590527,  114,    0
   273,100930,19590528,  136,    0
   273,100930,19590529,  122,    0
   273,100930,19590530,  128,    0
   273,100930,19590531,  156,    0
   273,100930,19590601,  159,    0
   273,100930,19590602,  139,    0
   273,100930,19590603,  153,    0
   273,100930,19590604,  175,    0
   273,100930,19590605,  167,    0
   273,100930,19590606,  156,    0
   273,100930,19590607,  142,    0
   273,100930,19590608,  145,    0
   273,100930,19590609,  134,    0
   273,100930,19590610,  131,    0
   273,100930,19590611,  128,    0
   273,100930,19590612,  156,    0
   273,100930,19590613,  156,    0
   273,100930,19590614,  139,    0
   273,100930,19590615,  167,    0
   273,100930,19590616,  136,    0
   273,100930,19590617,  173,    0
   273,100930,19590618,  181,    0
   273,100930,19590619,  134,    0
   273,100930,19590620,  148,    0
   273,100930,19590621,  136,    0
   273,100930,19590622,  150,    0
   273,100930,19590623,  181,    0
   273,100930,19590624,  195,    0
   273,100930,19590625,  178,    0
   273,100930,19590626,  178,    0
   273,100930,19590627,  156,    0
   273,100930,19590628,  161,    0
   273,100930,19590629,  161,    0
   273,100930,19590630,  139,    0
   273,100930,19590701,  128,    0
   273,100930,19590702,  183,    0
   273,100930,19590703,  192,    0
   273,100930,19590704,  192,    0
   273,100930,19590705,  239,    0
   273,100930,19590706,  211,    0
   273,100930,19590707,  186,    0
   273,100930,19590708,  231,    0
   273,100930,19590709,  211,    1
   273,100930,19590710,  156,    0
   273,100930,19590711,  164,    0
   273,100930,19590712,  156,    0
   273,100930,19590713,  153,    0
   273,100930,19590714,  134,    0
   273,100930,19590715,  131,    0
   273,100930,19590716,  170,    0
   273,100930,19590717,  187,    0
   273,100930,19590718,  209,    0
   273,100930,19590719,  178,    0
   273,100930,19590720,  170,    0
   273,100930,19590721,  194,    0
   273,100930,19590722,  172,    0
   273,100930,19590723,  178,    0
   273,100930,19590724,  186,    0
   273,100930,19590725,  181,    0
   273,100930,19590726,  192,    0
   273,100930,19590727,  203,    0
   273,100930,19590728,  164,    0
   273,100930,19590729,  145,    0
   273,100930,19590730,  156,    0
   273,100930,19590731,  145,    0
   273,100930,19590801,  161,    0
   273,100930,19590802,  131,    0
   273,100930,19590803,  164,    0
   273,100930,19590804,  173,    0
   273,100930,19590805,  189,    0
   273,100930,19590806,  178,    0
   273,100930,19590807,  184,    0
   273,100930,19590808,  195,    0
   273,100930,19590809,  186,    0
   273,100930,19590810,  192,    0
   273,100930,19590811,  178,    0
   273,100930,19590812,  175,    0
   273,100930,19590813,  186,    0
   273,100930,19590814,  178,    0
   273,100930,19590815,  173,    0
   273,100930,19590816,  156,    0
   273,100930,19590817,  153,    0
   273,100930,19590818,  161,    0
   273,100930,19590819,  181,    0
   273,100930,19590820,  186,    0
   273,100930,19590821,  206,    0
   273,100930,19590822,  208,    0
   273,100930,19590823,  200,    0
   273,100930,19590824,  225,    0
   273,100930,19590825,  228,    0
   273,100930,19590826,  225,    0
   273,100930,19590827,  195,    0
   273,100930,19590828,  195,    1
   273,100930,19590829,  128,    0
   273,100930,19590830,  142,    0
   273,100930,19590831,  128,    0
   273,100930,19590901,  139,    0
   273,100930,19590902,  122,    0
   273,100930,19590903,  136,    0
   273,100930,19590904,  153,    0
   273,100930,19590905,  139,    0
   273,100930,19590906,  164,    0
   273,100930,19590907,  153,    0
   273,100930,19590908,  175,    0
   273,100930,19590909,  145,    0
   273,100930,19590910,  184,    0
   273,100930,19590911,  189,    0
   273,100930,19590912,  187,    0
   273,100930,19590913,  159,    0
   273,100930,19590914,  139,    0
   273,100930,19590915,  139,    0
   273,100930,19590916,  136,    0
   273,100930,19590917,  153,    1
   273,100930,19590918,  128,    0
   273,100930,19590919,  128,    0
   273,100930,19590920,  153,    0
   273,100930,19590921,  172,    0
   273,100930,19590922,  128,    0
   273,100930,19590923,  134,    0
   273,100930,19590924,  125,    0
   273,100930,19590925,  156,    0
   273,100930,19590926,  170,    0
   273,100930,19590927,  106,    0
   273,100930,19590928,  128,    0
   273,100930,19590929,  142,    0
   273,100930,19590930,  161,    0
   273,100930,19591001,  122,    0
   273,100930,19591002,  175,    0
   273,100930,19591003,  178,    0
   273,100930,19591004,  170,    0
   273,100930,19591005,  167,    0
   273,100930,19591006,  153,    0
   273,100930,19591007,  117,    0
   273,100930,19591008,  142,    0
   273,100930,19591009,  134,    0
   273,100930,19591010,  136,    0
   273,100930,19591011,  150,    0
   273,100930,19591012,  153,    0
   273,100930,19591013,  161,    0
   273,100930,19591014,  117,    0
   273,100930,19591015,  114,    0
   273,100930,19591016,  114,    0
   273,100930,19591017,  153,    0
   273,100930,19591018,  150,    0
   273,100930,19591019,  128,    0
   273,100930,19591020,  117,    0
   273,100930,19591021,  111,    0
   273,100930,19591022,  122,    0
   273,100930,19591023,  114,    0
   273,100930,19591024,  122,    0
   273,100930,19591025,  103,    0
   273,100930,19591026,  106,    0
   273,100930,19591027,   95,    1
   273,100930,19591028,   70,    0
   273,100930,19591029,   61,    0
   273,100930,19591030,   67,    0
   273,100930,19591031,   89,    0
   273,100930,19591101,  100,    0
   273,100930,19591102,  108,    0
   273,100930,19591103,  111,    1
   273,100930,19591104,   61,    0
   273,100930,19591105,   64,    0
   273,100930,19591106,   50,    0
   273,100930,19591107,   50,    0
   273,100930,19591108,   56,    0
   273,100930,19591109,   78,    0
   273,100930,19591110,   59,    1
   273,100930,19591111,   25,    0
   273,100930,19591112,   20,    0
   273,100930,19591113,   17,    0
   273,100930,19591114,   61,    0
   273,100930,19591115,   61,    0
   273,100930,19591116,   50,    0
   273,100930,19591117,   53,    0
   273,100930,19591118,   56,    0
   273,100930,19591119,   72,    0
   273,100930,19591120,  103,    0
   273,100930,19591121,  103,    0
   273,100930,19591122,  108,    0
   273,100930,19591123,  103,    0
   273,100930,19591124,  106,    0
   273,100930,19591125,   95,    0
   273,100930,19591126,   92,    0
   273,100930,19591127,   70,    1
   273,100930,19591128,   45,    0
   273,100930,19591129,   67,    0
   273,100930,19591130,   56,    0
   273,100930,19591201,   50,    0
   273,100930,19591202,   47,    0
   273,100930,19591203,   42,    0
   273,100930,19591204,   56,    0
   273,100930,19591205,   45,    0
   273,100930,19591206,   53,    0
   273,100930,19591207,   75,    0
   273,100930,19591208,   72,    0
   273,100930,19591209,   78,    0
   273,100930,19591210,   70,    1
   273,100930,19591211,   59,    0
   273,100930,19591212,   59,    0
   273,100930,19591213,   42,    0
   273,100930,19591214,   64,    0
   273,100930,19591215,   75,    1
   273,100930,19591216,   45,    0
   273,100930,19591217,   84,    0
   273,100930,19591218,   78,    0
   273,100930,19591219,   56,    0
   273,100930,19591220,   72,    0
   273,100930,19591221,   81,    1
   273,100930,19591222,   39,    0
   273,100930,19591223,   47,    0
   273,100930,19591224,   42,    0
   273,100930,19591225,   39,    0
   273,100930,19591226,   70,    0
   273,100930,19591227,   75,    0
   273,100930,19591228,   56,    0
   273,100930,19591229,   53,    0
   273,100930,19591230,   72,    0
   273,100930,19591231,   78,    0
   273,100930,19600101,   84,    0
   273,100930,19600102,   70,    1
   273,100930,19600103,   31,    0
   273,100930,19600104,   53,    0
   273,100930,19600105,   78,    1
   273,100930,19600106,   42,    0
   273,100930,19600107,   39,    0
   273,100930,19600108,   25,    0
   273,100930,19600109,   39,    1
   273,100930,19600110,   11,    0
   273,100930,19600111,   31,    0
   273,100930,19600112,   36,    1
   273,100930,19600113,    6,    0
   273,100930,19600114,   -3,    0
   273,100930,19600115,   14,    0
   273,100930,19600116,   14,    0
   273,100930,19600117,   11,    0
   273,100930,19600118,   20,    0
   273,100930,19600119,   42,    0
   273,100930,19600120,   29,    0
   273,100930,19600121,   28,    0
   273,100930,19600122,   56,    0
   273,100930,19600123,  111,    0
   273,100930,19600124,   98,    1
   273,100930,19600125,   56,    0
   273,100930,19600126,   39,    0
   273,100930,19600127,   25,    0
   273,100930,19600128,   42,    0
   273,100930,19600129,   31,    0
   273,100930,19600130,   37,    0
   273,100930,19600131,   50,    0
   273,100930,19600201,   67,    1
   273,100930,19600202,   50,    0
   273,100930,19600203,   81,    0
   273,100930,19600204,   81,    0
   273,100930,19600205,   50,    0
   273,100930,19600206,   42,    0
   273,100930,19600207,   50,    0
   273,100930,19600208,   17,    0
   273,100930,19600209,   31,    0
   273,100930,19600210,   45,    0
   273,100930,19600211,   28,    0
   273,100930,19600212,   17,    0
   273,100930,19600213,   17,    0
   273,100930,19600214,    6,    0
   273,100930,19600215,    0,    0
   273,100930,19600216,   22,    0
   273,100930,19600217,   17,    0
   273,100930,19600218,   -6,    0
   273,100930,19600219,   20,    0
   273,100930,19600220,   25,    0
   273,100930,19600221,   39,    0
   273,100930,19600222,   23,    0
   273,100930,19600223,   23,    0
   273,100930,19600224,   17,    0
   273,100930,19600225,   31,    0
   273,100930,19600226,   50,    0
   273,100930,19600227,   78,    0
   273,100930,19600228,  103,    0
   273,100930,19600229,  120,    0
   273,100930,19600301,  128,    0
   273,100930,19600302,  103,    0
   273,100930,19600303,   86,    0
   273,100930,19600304,   89,    0
   273,100930,19600305,   64,    0
   273,100930,19600306,   70,    1
   273,100930,19600307,   36,    0
   273,100930,19600308,   31,    1
   273,100930,19600309,   17,    0
   273,100930,19600310,   42,    0
   273,100930,19600311,   59,    0
   273,100930,19600312,   64,    0
   273,100930,19600313,   61,    0
   273,100930,19600314,   78,    0
   273,100930,19600315,   92,    1
   273,100930,19600316,   61,    1
   273,100930,19600317,   48,    0
   273,100930,19600318,   42,    0
   273,100930,19600319,   42,    0
   273,100930,19600320,   36,    0
   273,100930,19600321,   53,    0
   273,100930,19600322,   39,    0
   273,100930,19600323,   56,    0
   273,100930,19600324,   70,    0
   273,100930,19600325,   70,    1
   273,100930,19600326,   56,    0
   273,100930,19600327,   58,    0
   273,100930,19600328,   47,    0
   273,100930,19600329,   61,    0
   273,100930,19600330,   58,    1
   273,100930,19600331,   42,    0
   273,100930,19600401,   53,    0
   273,100930,19600402,   58,    0
   273,100930,19600403,   78,    0
   273,100930,19600404,   87,    0
   273,100930,19600405,  120,    0
   273,100930,19600406,  128,    0
   273,100930,19600407,  108,    0
   273,100930,19600408,  100,    0
   273,100930,19600409,  125,    0
   273,100930,19600410,  106,    0
   273,100930,19600411,   95,    0
   273,100930,19600412,   81,    0
   273,100930,19600413,   98,    0
   273,100930,19600414,   93,    0
   273,100930,19600415,   86,    0
   273,100930,19600416,   78,    0
   273,100930,19600417,   59,    0
   273,100930,19600418,   53,    0
   273,100930,19600419,   73,    0
   273,100930,19600420,   84,    0
   273,100930,19600421,  119,    0
   273,100930,19600422,  117,    0
   273,100930,19600423,  131,    0
   273,100930,19600424,   97,    0
   273,100930,19600425,  103,    0
   273,100930,19600426,   86,    0
   273,100930,19600427,   70,    0
   273,100930,19600428,   92,    0
   273,100930,19600429,   67,    0
   273,100930,19600430,   59,    0
   273,100930,19600501,  103,    1
   273,100930,19600502,   53,    0
   273,100930,19600503,  108,    0
   273,100930,19600504,  131,    0
   273,100930,19600505,  139,    0
   273,100930,19600506,  139,    0
   273,100930,19600507,  150,    0
   273,100930,19600508,  139,    0
   273,100930,19600509,  139,    0
   273,100930,19600510,  125,    0
   273,100930,19600511,  131,    0
   273,100930,19600512,  128,    0
   273,100930,19600513,  123,    0
   273,100930,19600514,  139,    0
   273,100930,19600515,  153,    0
   273,100930,19600516,  150,    0
   273,100930,19600517,  131,    0
   273,100930,19600518,  139,    1
   273,100930,19600519,   97,    0
   273,100930,19600520,   95,    0
   273,100930,19600521,   97,    0
   273,100930,19600522,  103,    0
   273,100930,19600523,  142,    0
   273,100930,19600524,  128,    0
   273,100930,19600525,  114,    0
   273,100930,19600526,  164,    0
   273,100930,19600527,  186,    0
   273,100930,19600528,  170,    1
   273,100930,19600529,  114,    0
   273,100930,19600530,  112,    0
   273,100930,19600531,  106,    0
   273,100930,19600601,  136,    0
   273,100930,19600602,  153,    0
   273,100930,19600603,  178,    0
   273,100930,19600604,  145,    0
   273,100930,19600605,  170,    0
   273,100930,19600606,  200,    0
   273,100930,19600607,  173,    0
   273,100930,19600608,  159,    0
   273,100930,19600609,  153,    0
   273,100930,19600610,  136,    0
   273,100930,19600611,  139,    0
   273,100930,19600612,  164,    0
   273,100930,19600613,  150,    0
   273,100930,19600614,  142,    0
   273,100930,19600615,  142,    0
   273,100930,19600616,  175,    0
   273,100930,19600617,  178,    0
   273,100930,19600618,  214,    0
   273,100930,19600619,  200,    1
   273,100930,19600620,  147,    0
   273,100930,19600621,  159,    0
   273,100930,19600622,  197,    0
   273,100930,19600623,  178,    0
   273,100930,19600624,  150,    0
   273,100930,19600625,  159,    0
   273,100930,19600626,  162,    0
   273,100930,19600627,  173,    0
   273,100930,19600628,  144,    0
   273,100930,19600629,  128,    0
   273,100930,19600630,  114,    0
   273,100930,19600701,  123,    0
   273,100930,19600702,  150,    0
   273,100930,19600703,  120,    0
   273,100930,19600704,  156,    0
   273,100930,19600705,  175,    0
   273,100930,19600706,  164,    1
   273,100930,19600707,  131,    0
   273,100930,19600708,  159,    0
   273,100930,19600709,  142,    0
   273,100930,19600710,  136,    0
   273,100930,19600711,  147,    0
   273,100930,19600712,  150,    0
   273,100930,19600713,  167,    0
   273,100930,19600714,  178,    0
   273,100930,19600715,  164,    0
   273,100930,19600716,  167,    0
   273,100930,19600717,  167,    0
   273,100930,19600718,  170,    0
   273,100930,19600719,  170,    0
   273,100930,19600720,  156,    0
   273,100930,19600721,  156,    0
   273,100930,19600722,  148,    0
   273,100930,19600723,  125,    0
   273,100930,19600724,  153,    0
   273,100930,19600725,  172,    0
   273,100930,19600726,  153,    0
   273,100930,19600727,  147,    0
   273,100930,19600728,  181,    0
   273,100930,19600729,  183,    0
   273,100930,19600730,  181,    0
   273,100930,19600731,  162,    0
   273,100930,19600801,  172,    0
   273,100930,19600802,  170,    0
   273,100930,19600803,  175,    1
   273,100930,19600804,  145,    0
   273,100930,19600805,  175,    0
   273,100930,19600806,  159,    0
   273,100930,19600807,  164,    0
   273,100930,19600808,  178,    0
   273,100930,19600809,  142,    0
   273,100930,19600810,  131,    0
   273,100930,19600811,  147,    1
   273,100930,19600812,  114,    0
   273,100930,19600813,  120,    0
   273,100930,19600814,  150,    0
   273,100930,19600815,  148,    0
   273,100930,19600816,  156,    0
   273,100930,19600817,  145,    0
   273,100930,19600818,  147,    0
   273,100930,19600819,  145,    0
   273,100930,19600820,  150,    0
   273,100930,19600821,  173,    0
   273,100930,19600822,  181,    0
   273,100930,19600823,  192,    0
   273,100930,19600824,  175,    0
   273,100930,19600825,  175,    0
   273,100930,19600826,  167,    0
   273,100930,19600827,  170,    0
   273,100930,19600828,  172,    0
   273,100930,19600829,  164,    0
   273,100930,19600830,  156,    0
   273,100930,19600831,  150,    0
   273,100930,19600901,  134,    0
   273,100930,19600902,  134,    0
   273,100930,19600903,  153,    0
   273,100930,19600904,  145,    0
   273,100930,19600905,  131,    0
   273,100930,19600906,  133,    0
   273,100930,19600907,  134,    0
   273,100930,19600908,  120,    0
   273,100930,19600909,  161,    0
   273,100930,19600910,  178,    0
   273,100930,19600911,  178,    0
   273,100930,19600912,  178,    0
   273,100930,19600913,  148,    0
   273,100930,19600914,  156,    0
   273,100930,19600915,  128,    0
   273,100930,19600916,  142,    0
   273,100930,19600917,  142,    0
   273,100930,19600918,  106,    0
   273,100930,19600919,  156,    0
   273,100930,19600920,  133,    1
   273,100930,19600921,  106,    0
   273,100930,19600922,  117,    0
   273,100930,19600923,  147,    0
   273,100930,19600924,  125,    0
   273,100930,19600925,  139,    0
   273,100930,19600926,  112,    0
   273,100930,19600927,  131,    0
   273,100930,19600928,  120,    0
   273,100930,19600929,  128,    0
   273,100930,19600930,  125,    0
   273,100930,19601001,  120,    0
   273,100930,19601002,  131,    0
   273,100930,19601003,  147,    0
   273,100930,19601004,  156,    0
   273,100930,19601005,  145,    0
   273,100930,19601006,  120,    0
   273,100930,19601007,  120,    0
   273,100930,19601008,  133,    0
   273,100930,19601009,  145,    1
   273,100930,19601010,  120,    1
   273,100930,19601011,   87,    0
   273,100930,19601012,   75,    0
   273,100930,19601013,   67,    0
   273,100930,19601014,   72,    0
   273,100930,19601015,   92,    0
   273,100930,19601016,   92,    0
   273,100930,19601017,   75,    0
   273,100930,19601018,   86,    0
   273,100930,19601019,  109,    0
   273,100930,19601020,  114,    0
   273,100930,19601021,  110,    0
   273,100930,19601022,  100,    0
   273,100930,19601023,  120,    0
   273,100930,19601024,  108,    0
   273,100930,19601025,  108,    0
   273,100930,19601026,  117,    0
   273,100930,19601027,  114,    0
   273,100930,19601028,  109,    0
   273,100930,19601029,   95,    0
   273,100930,19601030,  106,    0
   273,100930,19601031,   95,    0
   273,100930,19601101,   95,    0
   273,100930,19601102,  128,    1
   273,100930,19601103,   87,    0
   273,100930,19601104,   78,    0
   273,100930,19601105,   70,    0
   273,100930,19601106,   81,    0
   273,100930,19601107,   56,    0
   273,100930,19601108,   47,    0
   273,100930,19601109,   56,    0
   273,100930,19601110,   53,    0
   273,100930,19601111,   84,    0
   273,100930,19601112,   81,    0
   273,100930,19601113,   81,    0
   273,100930,19601114,   78,    0
   273,100930,19601115,   75,    0
   273,100930,19601116,   64,    0
   273,100930,19601117,   61,    0
   273,100930,19601118,   50,    0
   273,100930,19601119,   36,    0
   273,100930,19601120,   39,    0
   273,100930,19601121,   84,    0
   273,100930,19601122,   89,    0
   273,100930,19601123,   81,    0
   273,100930,19601124,   78,    0
   273,100930,19601125,   95,    1
   273,100930,19601126,   83,    0
   273,100930,19601127,   86,    1
   273,100930,19601128,   42,    0
   273,100930,19601129,   53,    0
   273,100930,19601130,   87,    0
   273,100930,19601201,   95,    0
   273,100930,19601202,   75,    0
   273,100930,19601203,   78,    0
   273,100930,19601204,   89,    0
   273,100930,19601205,   67,    0
   273,100930,19601206,   20,    0
   273,100930,19601207,    0,    0
   273,100930,19601208,   28,    0
   273,100930,19601209,   25,    0
   273,100930,19601210,   20,    0
   273,100930,19601211,   19,    0
   273,100930,19601212,   17,    0
   273,100930,19601213,   20,    0
   273,100930,19601214,   23,    0
   273,100930,19601215,   23,    0
   273,100930,19601216,   42,    0
   273,100930,19601217,   39,    0
   273,100930,19601218,   61,    0
   273,100930,19601219,   56,    0
   273,100930,19601220,   48,    0
   273,100930,19601221,   47,    0
   273,100930,19601222,   34,    0
   273,100930,19601223,   42,    0
   273,100930,19601224,   67,    0
   273,100930,19601225,   56,    0
   273,100930,19601226,   75,    1
   273,100930,19601227,   42,    0
   273,100930,19601228,   31,    0
   273,100930,19601229,   20,    0
   273,100930,19601230,   31,    0
   273,100930,19601231,   53,    1
   273,100930,19610101,   34,    0
   273,100930,19610102,   45,    0
   273,100930,19610103,   31,    0
   273,100930,19610104,   22,    0
   273,100930,19610105,   25,    0
   273,100930,19610106,   31,    0
   273,100930,19610107,   28,    0
   273,100930,19610108,   22,    0
   273,100930,19610109,   42,    0
   273,100930,19610110,   39,    0
   273,100930,19610111,   31,    0
   273,100930,19610112,   28,    0
   273,100930,19610113,   53,    0
   273,100930,19610114,   45,    0
   273,100930,19610115,   17,    0
   273,100930,19610116,   11,    0
   273,100930,19610117,   37,    0
   273,100930,19610118,   22,    0
   273,100930,19610119,   22,    0
   273,100930,19610120,   36,    0
   273,100930,19610121,   42,    0
   273,100930,19610122,   39,    0
   273,100930,19610123,   34,    0
   273,100930,19610124,   31,    1
   273,100930,19610125,   20,    0
   273,100930,19610126,    8,    0
   273,100930,19610127,   14,    0
   273,100930,19610128,   50,    0
   273,100930,19610129,   56,    0
   273,100930,19610130,   83,    0
   273,100930,19610131,   58,    0
   273,100930,19610201,   53,    0
   273,100930,19610202,   53,    1
   273,100930,19610203,   31,    0
   273,100930,19610204,   31,    0
   273,100930,19610205,   42,    0
   273,100930,19610206,   72,    0
   273,100930,19610207,   67,    0
   273,100930,19610208,   75,    0
   273,100930,19610209,   92,    0
   273,100930,19610210,   81,    0
   273,100930,19610211,   95,    0
   273,100930,19610212,   87,    0
   273,100930,19610213,   84,    0
   273,100930,19610214,   81,    0
   273,100930,19610215,   95,    0
   273,100930,19610216,   89,    0
   273,100930,19610217,   75,    0
   273,100930,19610218,   64,    0
   273,100930,19610219,   86,    0
   273,100930,19610220,   86,    1
   273,100930,19610221,   45,    0
   273,100930,19610222,   48,    0
   273,100930,19610223,   45,    0
   273,100930,19610224,   61,    0
   273,100930,19610225,   58,    0
   273,100930,19610226,   81,    0
   273,100930,19610227,   87,    0
   273,100930,19610228,   69,    0
   273,100930,19610301,   56,    0
   273,100930,19610302,   86,    0
   273,100930,19610303,   70,    0
   273,100930,19610304,   86,    0
   273,100930,19610305,   70,    0
   273,100930,19610306,  100,    0
   273,100930,19610307,  114,    0
   273,100930,19610308,   94,    0
   273,100930,19610309,  106,    0
   273,100930,19610310,  106,    0
   273,100930,19610311,  100,    0
   273,100930,19610312,  114,    0
   273,100930,19610313,  120,    0
   273,100930,19610314,  119,    0
   273,100930,19610315,   92,    0
   273,100930,19610316,  109,    0
   273,100930,19610317,  134,    0
   273,100930,19610318,  103,    0
   273,100930,19610319,   56,    0
   273,100930,19610320,   37,    0
   273,100930,19610321,   75,    0
   273,100930,19610322,   70,    0
   273,100930,19610323,   81,    0
   273,100930,19610324,   95,    0
   273,100930,19610325,   92,    0
   273,100930,19610326,   98,    0
   273,100930,19610327,   75,    0
   273,100930,19610328,   58,    0
   273,100930,19610329,   84,    0
   273,100930,19610330,  117,    1
   273,100930,19610331,   76,    0
   273,100930,19610401,   75,    0
   273,100930,19610402,   78,    0
   273,100930,19610403,   53,    0
   273,100930,19610404,   42,    0
   273,100930,19610405,   64,    0
   273,100930,19610406,   86,    0
   273,100930,19610407,   81,    0
   273,100930,19610408,   50,    0
   273,100930,19610409,   81,    0
   273,100930,19610410,   81,    0
   273,100930,19610411,   84,    0
   273,100930,19610412,  117,    0
   273,100930,19610413,  133,    0
   273,100930,19610414,  131,    0
   273,100930,19610415,  106,    0
   273,100930,19610416,  100,    0
   273,100930,19610417,  122,    0
   273,100930,19610418,   94,    0
   273,100930,19610419,   98,    0
   273,100930,19610420,  109,    0
   273,100930,19610421,  123,    0
   273,100930,19610422,  134,    0
   273,100930,19610423,  106,    0
   273,100930,19610424,   95,    0
   273,100930,19610425,  103,    0
   273,100930,19610426,  120,    0
   273,100930,19610427,  109,    0
